Archivo: Trazadora 1 VALIDOS.ACCDB
Provincia: MZ - registros: 22480
Provincia: NQ - registros: 3285
Provincia: RN - registros: 4992
Provincia: SC - registros: 656
Provincia: SA - registros: 34237
Provincia: SG - registros: 54604
Provincia: SJ - registros: 8387
Provincia: SL - registros: 8720
Provincia: TU - registros: 38455
Provincia: SF - registros: 37552
Provincia: TF - registros: 26
Archivo: Trazadora 4 VALIDOS.ACCDB
Provincia: general - registros: 18263
Provincia: BA - registros: 7231
Provincia: CA - registros: 272
Provincia: CB - registros: 104
Provincia: CC - registros: 1734
Provincia: CH - registros: 23
Provincia: CO - registros: 141
Provincia: CR - registros: 6
Provincia: ER - registros: 12
Provincia: FO - registros: 684
Provincia: JU - registros: 2126
Provincia: LP - registros: 464
Provincia: LR - registros: 111
Provincia: MI - registros: 17
Provincia: MZ - registros: 14
Provincia: NQ - registros: 119
Provincia: RN - registros: 34
Provincia: SC - registros: 0
Provincia: SA - registros: 112
Provincia: SG - registros: 2866
Provincia: SJ - registros: 60
Provincia: SL - registros: 124
Provincia: TU - registros: 692
Provincia: SF - registros: 1317
Provincia: TF - registros: 0
Archivo: Trazadora 4_Det VALIDOS.ACCDB
Provincia: general - registros: 36526
Provincia: BA - registros: 14462
Provincia: CA - registros: 544
Provincia: CB - registros: 208
Provincia: CC - registros: 3468
Provincia: CH - registros: 46
Provincia: CO - registros: 282
Provincia: CR - registros: 12
Provincia: ER - registros: 24
Provincia: FO - registros: 1368
Provincia: JU - registros: 4252
Provincia: LP - registros: 928
Provincia: LR - registros: 222
Provincia: MI - registros: 34
Provincia: MZ - registros: 28
Provincia: NQ - registros: 238
Provincia: RN - registros: 68
Provincia: SC - registros: 0
Provincia: SA - registros: 224
Provincia: SG - registros: 5732
Provincia: SJ - registros: 120
Provincia: SL - registros: 248
Provincia: TU - registros: 1384
Provincia: SF - registros: 2634
Provincia: TF - registros: 0
Archivo: Trazadora 5 VALIDOS.ACCDB
Provincia: general - registros: 11427
Provincia: BA - registros: 485
Provincia: CA - registros: 64
Provincia: CB - registros: 1135
Provincia: CC - registros: 231
Provincia: CH - registros: 62
Provincia: CO - registros: 128
Provincia: CR - registros: 25
Provincia: ER - registros: 248
Provincia: FO - registros: 1
Provincia: JU - registros: 55
Provincia: LP - registros: 1088
Provincia: LR - registros: 13
Provincia: MI - registros: 2900
Provincia: MZ - registros: 510
Provincia: NQ - registros: 2239
Provincia: RN - registros: 686
Provincia: SC - registros: 15
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 395
Provincia: SL - registros: 8
Provincia: TU - registros: 446
Provincia: SF - registros: 476
Provincia: TF - registros: 217
Archivo: Trazadora 6 VALIDOS.ACCDB
Provincia: general - registros: 1152
Provincia: BA - registros: 29
Provincia: CA - registros: 2
Provincia: CB - registros: 103
Provincia: CC - registros: 62
Provincia: CH - registros: 17
Provincia: CO - registros: 23
Provincia: CR - registros: 23
Provincia: ER - registros: 15
Provincia: FO - registros: 57
Provincia: JU - registros: 83
Provincia: LP - registros: 25
Provincia: LR - registros: 22
Provincia: MI - registros: 99
Provincia: MZ - registros: 26
Provincia: NQ - registros: 61
Provincia: RN - registros: 23
Provincia: SC - registros: 10
Provincia: SA - registros: 10
Provincia: SG - registros: 11
Provincia: SJ - registros: 5
Provincia: SL - registros: 77
Provincia: TU - registros: 89
Provincia: SF - registros: 275
Provincia: TF - registros: 5
Archivo: Trazadora 6_Det VALIDOS.ACCDB
Provincia: general - registros: 68356
Provincia: BA - registros: 58
Provincia: CA - registros: 10
Provincia: CB - registros: 514
Provincia: CC - registros: 219
Provincia: CH - registros: 34
Provincia: CO - registros: 47
Provincia: CR - registros: 59
Provincia: ER - registros: 63
Provincia: FO - registros: 298
Provincia: JU - registros: 360
Provincia: LP - registros: 64
Provincia: LR - registros: 78
Provincia: MI - registros: 318
Provincia: MZ - registros: 107
Provincia: NQ - registros: 277
Provincia: RN - registros: 60
Provincia: SC - registros: 34
Provincia: SA - registros: 115
Provincia: SG - registros: 22
Provincia: SJ - registros: 20
Provincia: SL - registros: 64285
Provincia: TU - registros: 214
Provincia: SF - registros: 1090
Provincia: TF - registros: 10
Archivo: Trazadora 7 VALIDOS.ACCDB
Provincia: general - registros: 1116
Provincia: BA - registros: 469
Provincia: CA - registros: 16
Provincia: CB - registros: 81
Provincia: CC - registros: 19
Provincia: CH - registros: 5
Provincia: CO - registros: 58
Provincia: CR - registros: 21
Provincia: ER - registros: 3
Provincia: FO - registros: 23
Provincia: JU - registros: 21
Provincia: LP - registros: 7
Provincia: LR - registros: 7
Provincia: MI - registros: 32
Provincia: MZ - registros: 27
Provincia: NQ - registros: 23
Provincia: RN - registros: 20
Provincia: SC - registros: 6
Provincia: SA - registros: 0
Provincia: SG - registros: 17
Provincia: SJ - registros: 10
Provincia: SL - registros: 69
Provincia: TU - registros: 32
Provincia: SF - registros: 149
Provincia: TF - registros: 1
Archivo: Trazadora 7_Det VALIDOS.ACCDB
Provincia: general - registros: 71029
Provincia: BA - registros: 1058
Provincia: CA - registros: 62
Provincia: CB - registros: 267
Provincia: CC - registros: 69
Provincia: CH - registros: 10
Provincia: CO - registros: 123
Provincia: CR - registros: 52
Provincia: ER - registros: 13
Provincia: FO - registros: 151
Provincia: JU - registros: 88
Provincia: LP - registros: 14
Provincia: LR - registros: 32
Provincia: MI - registros: 122
Provincia: MZ - registros: 117
Provincia: NQ - registros: 116
Provincia: RN - registros: 49
Provincia: SC - registros: 17
Provincia: SA - registros: 0
Provincia: SG - registros: 41
Provincia: SJ - registros: 40
Provincia: SL - registros: 67953
Provincia: TU - registros: 68
Provincia: SF - registros: 563
Provincia: TF - registros: 4
Archivo: Trazadora 8 VALIDOS.ACCDB
Provincia: general - registros: 93447
Provincia: BA - registros: 16498
Provincia: CA - registros: 458
Provincia: CB - registros: 5626
Provincia: CC - registros: 3660
Provincia: CH - registros: 642
Provincia: CO - registros: 5585
Provincia: CR - registros: 1703
Provincia: ER - registros: 3858
Provincia: FO - registros: 432
Provincia: JU - registros: 2932
Provincia: LP - registros: 5309
Provincia: LR - registros: 656
Provincia: MI - registros: 351
Provincia: MZ - registros: 10070
Provincia: NQ - registros: 3486
Provincia: RN - registros: 2015
Provincia: SC - registros: 29
Provincia: SA - registros: 371
Provincia: SG - registros: 1066
Provincia: SJ - registros: 445
Provincia: SL - registros: 263
Provincia: TU - registros: 6017
Provincia: SF - registros: 21736
Provincia: TF - registros: 239
Archivo: Trazadora 9 VALIDOS.ACCDB
Provincia: general - registros: 45474
Provincia: BA - registros: 13217
Provincia: CA - registros: 216
Provincia: CB - registros: 1213
Provincia: CC - registros: 1967
Provincia: CH - registros: 51
Provincia: CO - registros: 1312
Provincia: CR - registros: 1210
Provincia: ER - registros: 1115
Provincia: FO - registros: 4280
Provincia: JU - registros: 1532
Provincia: LP - registros: 3294
Provincia: LR - registros: 830
Provincia: MI - registros: 0
Provincia: MZ - registros: 2047
Provincia: NQ - registros: 758
Provincia: RN - registros: 516
Provincia: SC - registros: 3
Provincia: SA - registros: 249
Provincia: SG - registros: 77
Provincia: SJ - registros: 1216
Provincia: SL - registros: 33
Provincia: TU - registros: 4479
Provincia: SF - registros: 5625
Provincia: TF - registros: 234
Archivo: Trazadora 9_Det VALIDOS.ACCDB
Provincia: general - registros: 416311
Provincia: BA - registros: 103389
Provincia: CA - registros: 724
Provincia: CB - registros: 31588
Provincia: CC - registros: 21326
Provincia: CH - registros: 196
Provincia: CO - registros: 12372
Provincia: CR - registros: 3560
Provincia: ER - registros: 4871
Provincia: FO - registros: 61137
Provincia: JU - registros: 13341
Provincia: LP - registros: 44778
Provincia: LR - registros: 2952
Provincia: MI - registros: 0
Provincia: MZ - registros: 18087
Provincia: NQ - registros: 9580
Provincia: RN - registros: 4116
Provincia: SC - registros: 21
Provincia: SA - registros: 1146
Provincia: SG - registros: 592
Provincia: SJ - registros: 3216
Provincia: SL - registros: 127
Provincia: TU - registros: 33319
Provincia: SF - registros: 45405
Provincia: TF - registros: 468
Archivo: Trazadora 1 VALIDOS.ACCDB
Provincia: general - registros: 3258
Provincia: BA - registros: 1226
Provincia: CA - registros: 43
Provincia: CB - registros: 91
Provincia: CC - registros: 170
Provincia: CH - registros: 28
Provincia: CO - registros: 158
Provincia: CR - registros: 91
Provincia: ER - registros: 214
Provincia: FO - registros: 112
Provincia: JU - registros: 125
Provincia: LP - registros: 205
Provincia: LR - registros: 33
Provincia: MI - registros: 30
Provincia: MZ - registros: 93
Provincia: NQ - registros: 105
Provincia: RN - registros: 10
Provincia: SC - registros: 19
Provincia: SA - registros: 0
Provincia: SG - registros: 37
Provincia: SJ - registros: 10
Provincia: SL - registros: 221
Provincia: TU - registros: 229
Provincia: SF - registros: 8
Provincia: TF - registros: 0
Archivo: Trazadora 10 VALIDOS.ACCDB
Provincia: general - registros: 999355
Provincia: BA - registros: 230689
Archivo: Trazadora 1 VALIDOS.ACCDB
Provincia: general - registros: 3258
Provincia: BA - registros: 1226
Provincia: CA - registros: 43
Provincia: CB - registros: 91
Provincia: CC - registros: 170
Provincia: CH - registros: 28
Provincia: CO - registros: 158
Provincia: CR - registros: 91
Provincia: ER - registros: 214
Provincia: FO - registros: 112
Provincia: JU - registros: 125
Provincia: LP - registros: 205
Provincia: LR - registros: 33
Provincia: MI - registros: 30
Provincia: MZ - registros: 93
Provincia: NQ - registros: 105
Provincia: RN - registros: 10
Provincia: SC - registros: 19
Provincia: SA - registros: 0
Provincia: SG - registros: 37
Provincia: SJ - registros: 10
Provincia: SL - registros: 221
Provincia: TU - registros: 229
Provincia: SF - registros: 8
Provincia: TF - registros: 0
Archivo: Trazadora 10 VALIDOS.ACCDB
Provincia: general - registros: 999355
Provincia: BA - registros: 230689
Provincia: CA - registros: 639
Provincia: CB - registros: 20928
Provincia: CC - registros: 14561
Provincia: CH - registros: 2703
Provincia: CO - registros: 40060
Provincia: CR - registros: 8640
Provincia: ER - registros: 7393
Provincia: FO - registros: 0
Provincia: JU - registros: 44050
Provincia: LP - registros: 1362
Provincia: LR - registros: 17908
Provincia: MI - registros: 11653
Provincia: MZ - registros: 39435
Provincia: NQ - registros: 50124
Provincia: RN - registros: 5055
Provincia: SC - registros: 884
Provincia: SA - registros: 15995
Provincia: SG - registros: 66335
Provincia: SJ - registros: 5065
Provincia: SL - registros: 28099
Provincia: TU - registros: 319577
Provincia: SF - registros: 67869
Provincia: TF - registros: 331
Archivo: Trazadora 1_Det VALIDOS.ACCDB
Provincia: general - registros: 27646
Provincia: BA - registros: 10522
Provincia: CA - registros: 353
Provincia: CB - registros: 772
Provincia: CC - registros: 1423
Provincia: CH - registros: 239
Provincia: CO - registros: 1353
Provincia: CR - registros: 771
Provincia: ER - registros: 1844
Provincia: FO - registros: 927
Provincia: JU - registros: 1040
Provincia: LP - registros: 1756
Provincia: LR - registros: 284
Provincia: MI - registros: 258
Provincia: MZ - registros: 786
Provincia: NQ - registros: 883
Provincia: RN - registros: 86
Provincia: SC - registros: 161
Provincia: SA - registros: 0
Provincia: SG - registros: 310
Provincia: SJ - registros: 88
Provincia: SL - registros: 1804
Provincia: TU - registros: 1919
Provincia: SF - registros: 67
Provincia: TF - registros: 0
Archivo: Trazadora 2 VALIDOS.ACCDB
Provincia: general - registros: 1487875
Provincia: BA - registros: 469316
Provincia: CA - registros: 12063
Provincia: CB - registros: 37436
Provincia: CC - registros: 79563
Provincia: CH - registros: 7341
Provincia: CO - registros: 124474
Provincia: CR - registros: 50180
Provincia: ER - registros: 49047
Provincia: FO - registros: 33695
Provincia: JU - registros: 39395
Provincia: LP - registros: 16468
Provincia: LR - registros: 13914
Provincia: MI - registros: 87823
Provincia: MZ - registros: 60703
Provincia: NQ - registros: 22610
Provincia: RN - registros: 16845
Provincia: SC - registros: 2932
Provincia: SA - registros: 65452
Provincia: SG - registros: 69047
Provincia: SJ - registros: 26312
Provincia: SL - registros: 16795
Provincia: TU - registros: 102491
Provincia: SF - registros: 83972
Provincia: TF - registros: 1
Archivo: Trazadora 2_Det VALIDOS.ACCDB
Provincia: general - registros: 1589861
Provincia: BA - registros: 493745
Provincia: CA - registros: 12672
Provincia: CB - registros: 38927
Provincia: CC - registros: 91583
Provincia: CH - registros: 7615
Provincia: CO - registros: 132334
Provincia: CR - registros: 52194
Provincia: ER - registros: 54036
Provincia: FO - registros: 38455
Provincia: JU - registros: 41427
Provincia: LP - registros: 17900
Provincia: LR - registros: 14665
Provincia: MI - registros: 95370
Provincia: MZ - registros: 64537
Provincia: NQ - registros: 23201
Provincia: RN - registros: 18182
Provincia: SC - registros: 2964
Provincia: SA - registros: 68661
Provincia: SG - registros: 72594
Provincia: SJ - registros: 27066
Provincia: SL - registros: 17676
Provincia: TU - registros: 114874
Provincia: SF - registros: 89182
Provincia: TF - registros: 1
Archivo: Trazadora 3 VALIDOS.ACCDB
Provincia: general - registros: 778068
Provincia: BA - registros: 234634
Provincia: CA - registros: 6619
Provincia: CB - registros: 14985
Provincia: CC - registros: 33844
Provincia: CH - registros: 2581
Provincia: CO - registros: 79887
Provincia: CR - registros: 36995
Provincia: ER - registros: 23483
Provincia: FO - registros: 10787
Provincia: JU - registros: 21015
Provincia: LP - registros: 10679
Provincia: LR - registros: 6648
Provincia: MI - registros: 50992
Provincia: MZ - registros: 28679
Provincia: NQ - registros: 4689
Provincia: RN - registros: 7934
Provincia: SC - registros: 535
Provincia: SA - registros: 38572
Provincia: SG - registros: 54494
Provincia: SJ - registros: 9043
Provincia: SL - registros: 12130
Provincia: TU - registros: 45585
Provincia: SF - registros: 43258
Provincia: TF - registros: 0
Archivo: Trazadora 3_Det VALIDOS.ACCDB
Provincia: general - registros: 785782
Provincia: BA - registros: 237109
Provincia: CA - registros: 6677
Provincia: CB - registros: 15017
Provincia: CC - registros: 34218
Provincia: CH - registros: 2586
Provincia: CO - registros: 80642
Provincia: CR - registros: 37370
Provincia: ER - registros: 23644
Provincia: FO - registros: 10915
Provincia: JU - registros: 21343
Provincia: LP - registros: 10785
Provincia: LR - registros: 6699
Provincia: MI - registros: 51735
Provincia: MZ - registros: 28771
Provincia: NQ - registros: 4700
Provincia: RN - registros: 7970
Provincia: SC - registros: 535
Provincia: SA - registros: 38814
Provincia: SG - registros: 55264
Provincia: SJ - registros: 9098
Provincia: SL - registros: 12218
Provincia: TU - registros: 46154
Provincia: SF - registros: 43518
Provincia: TF - registros: 0
Archivo: Trazadora 4 VALIDOS.ACCDB
Provincia: general - registros: 7402
Provincia: BA - registros: 1689
Provincia: CA - registros: 1
Provincia: CB - registros: 105
Provincia: CC - registros: 1460
Provincia: CH - registros: 30
Provincia: CO - registros: 75
Provincia: CR - registros: 2
Provincia: ER - registros: 11
Provincia: FO - registros: 655
Provincia: JU - registros: 571
Provincia: LP - registros: 264
Provincia: LR - registros: 35
Provincia: MI - registros: 3
Provincia: MZ - registros: 23
Provincia: NQ - registros: 48
Provincia: RN - registros: 64
Provincia: SC - registros: 0
Provincia: SA - registros: 35
Provincia: SG - registros: 1328
Provincia: SJ - registros: 90
Provincia: SL - registros: 94
Provincia: TU - registros: 679
Provincia: SF - registros: 140
Provincia: TF - registros: 0
Archivo: Trazadora 4_Det VALIDOS.ACCDB
Provincia: general - registros: 14804
Provincia: BA - registros: 3378
Provincia: CA - registros: 2
Provincia: CB - registros: 210
Provincia: CC - registros: 2920
Provincia: CH - registros: 60
Provincia: CO - registros: 150
Provincia: CR - registros: 4
Provincia: ER - registros: 22
Provincia: FO - registros: 1310
Provincia: JU - registros: 1142
Provincia: LP - registros: 528
Provincia: LR - registros: 70
Provincia: MI - registros: 6
Provincia: MZ - registros: 46
Provincia: NQ - registros: 96
Provincia: RN - registros: 128
Provincia: SC - registros: 0
Provincia: SA - registros: 70
Provincia: SG - registros: 2656
Provincia: SJ - registros: 180
Provincia: SL - registros: 188
Provincia: TU - registros: 1358
Provincia: SF - registros: 280
Provincia: TF - registros: 0
Archivo: Trazadora 5 VALIDOS.ACCDB
Provincia: general - registros: 11516
Provincia: BA - registros: 685
Provincia: CA - registros: 65
Provincia: CB - registros: 1284
Provincia: CC - registros: 280
Provincia: CH - registros: 78
Provincia: CO - registros: 122
Provincia: CR - registros: 19
Provincia: ER - registros: 271
Provincia: FO - registros: 1
Provincia: JU - registros: 59
Provincia: LP - registros: 1051
Provincia: LR - registros: 15
Provincia: MI - registros: 2649
Provincia: MZ - registros: 499
Provincia: NQ - registros: 2429
Provincia: RN - registros: 712
Provincia: SC - registros: 16
Provincia: SA - registros: 0
Provincia: SG - registros: 0
Provincia: SJ - registros: 493
Provincia: SL - registros: 12
Provincia: TU - registros: 386
Provincia: SF - registros: 322
Provincia: TF - registros: 68
Archivo: Trazadora 6 VALIDOS.ACCDB
Provincia: general - registros: 1243
Provincia: BA - registros: 44
Provincia: CA - registros: 3
Provincia: CB - registros: 125
Provincia: CC - registros: 75
Provincia: CH - registros: 15
Provincia: CO - registros: 43
Provincia: CR - registros: 29
Provincia: ER - registros: 21
Provincia: FO - registros: 45
Provincia: JU - registros: 45
Provincia: LP - registros: 27
Provincia: LR - registros: 10
Provincia: MI - registros: 76
Provincia: MZ - registros: 46
Provincia: NQ - registros: 66
Provincia: RN - registros: 32
Provincia: SC - registros: 14
Provincia: SA - registros: 19
Provincia: SG - registros: 29
Provincia: SJ - registros: 19
Provincia: SL - registros: 87
Provincia: TU - registros: 86
Provincia: SF - registros: 285
Provincia: TF - registros: 2
Archivo: Trazadora 6_Det VALIDOS.ACCDB
Provincia: general - registros: 60417
Provincia: BA - registros: 89
Provincia: CA - registros: 12
Provincia: CB - registros: 693
Provincia: CC - registros: 263
Provincia: CH - registros: 30
Provincia: CO - registros: 92
Provincia: CR - registros: 77
Provincia: ER - registros: 80
Provincia: FO - registros: 171
Provincia: JU - registros: 230
Provincia: LP - registros: 67
Provincia: LR - registros: 47
Provincia: MI - registros: 250
Provincia: MZ - registros: 218
Provincia: NQ - registros: 193
Provincia: RN - registros: 109
Provincia: SC - registros: 46
Provincia: SA - registros: 211
Provincia: SG - registros: 59
Provincia: SJ - registros: 53
Provincia: SL - registros: 55923
Provincia: TU - registros: 203
Provincia: SF - registros: 1297
Provincia: TF - registros: 4
Archivo: Trazadora 7 VALIDOS.ACCDB
Provincia: general - registros: 933
Provincia: BA - registros: 306
Provincia: CA - registros: 12
Provincia: CB - registros: 63
Provincia: CC - registros: 15
Provincia: CH - registros: 7
Provincia: CO - registros: 55
Provincia: CR - registros: 15
Provincia: ER - registros: 4
Provincia: FO - registros: 18
Provincia: JU - registros: 19
Provincia: LP - registros: 8
Provincia: LR - registros: 5
Provincia: MI - registros: 26
Provincia: MZ - registros: 39
Provincia: NQ - registros: 20
Provincia: RN - registros: 20
Provincia: SC - registros: 10
Provincia: SA - registros: 1
Provincia: SG - registros: 11
Provincia: SJ - registros: 23
Provincia: SL - registros: 70
Provincia: TU - registros: 35
Provincia: SF - registros: 150
Provincia: TF - registros: 1
Archivo: Trazadora 7_Det VALIDOS.ACCDB
Provincia: general - registros: 46315
Provincia: BA - registros: 695
Provincia: CA - registros: 48
Provincia: CB - registros: 283
Provincia: CC - registros: 46
Provincia: CH - registros: 14
Provincia: CO - registros: 141
Provincia: CR - registros: 40
Provincia: ER - registros: 17
Provincia: FO - registros: 72
Provincia: JU - registros: 67
Provincia: LP - registros: 16
Provincia: LR - registros: 11
Provincia: MI - registros: 104
Provincia: MZ - registros: 180
Provincia: NQ - registros: 58
Provincia: RN - registros: 65
Provincia: SC - registros: 34
Provincia: SA - registros: 6
Provincia: SG - registros: 31
Provincia: SJ - registros: 97
Provincia: SL - registros: 43516
Provincia: TU - registros: 74
Provincia: SF - registros: 696
Provincia: TF - registros: 4
Archivo: Trazadora 8 VALIDOS.ACCDB
Provincia: general - registros: 66593
Provincia: BA - registros: 11257
Provincia: CA - registros: 307
Provincia: CB - registros: 5603
Provincia: CC - registros: 2328
Provincia: CH - registros: 433
Provincia: CO - registros: 4823
Provincia: CR - registros: 1879
Provincia: ER - registros: 2745
Provincia: FO - registros: 569
Provincia: JU - registros: 562
Provincia: LP - registros: 4344
Provincia: LR - registros: 361
Provincia: MI - registros: 303
Provincia: MZ - registros: 3877
Provincia: NQ - registros: 3224
Provincia: RN - registros: 1444
Provincia: SC - registros: 40
Provincia: SA - registros: 277
Provincia: SG - registros: 849
Provincia: SJ - registros: 668
Provincia: SL - registros: 357
Provincia: TU - registros: 4011
Provincia: SF - registros: 16332
Provincia: TF - registros: 0
Archivo: Trazadora 9 VALIDOS.ACCDB
Provincia: general - registros: 39334
Provincia: BA - registros: 11373
Provincia: CA - registros: 133
Provincia: CB - registros: 1232
Provincia: CC - registros: 1217
Provincia: CH - registros: 49
Provincia: CO - registros: 1148
Provincia: CR - registros: 1249
Provincia: ER - registros: 802
Provincia: FO - registros: 3207
Provincia: JU - registros: 1631
Provincia: LP - registros: 2915
Provincia: LR - registros: 606
Provincia: MI - registros: 0
Provincia: MZ - registros: 1406
Provincia: NQ - registros: 997
Provincia: RN - registros: 439
Provincia: SC - registros: 3
Provincia: SA - registros: 118
Provincia: SG - registros: 190
Provincia: SJ - registros: 1008
Provincia: SL - registros: 62
Provincia: TU - registros: 3006
Provincia: SF - registros: 6543
Provincia: TF - registros: 0
Archivo: Trazadora 9_Det VALIDOS.ACCDB
Provincia: general - registros: 400625
Provincia: BA - registros: 102880
Provincia: CA - registros: 497
Provincia: CB - registros: 17906
Provincia: CC - registros: 12121
Provincia: CH - registros: 180
Provincia: CO - registros: 9113
Provincia: CR - registros: 3831
Provincia: ER - registros: 3210
